title,brand,primary_category,primary_subcategory,media_type,form_factor,capacity_display,capacity_gb,interfaces,connectors,read_mbps,write_mbps,rpm,bays,raid_levels,rugged,ip_rating,drop_m,encryption,bus_powered,warranty_years,workflows,price_usd,completeness,needs_review,url
SanDisk Extreme Portable SSD V2 (Black),Sandisk,Drives,Solid-State Drives (SSD),ssd,rugged_portable,1 TB,1000,,USB-C; USB-A,1000,,,,,True,IP55,,256-bit AES,True,5,Offload & Ingest; On-Set Capture,319.99,0.74,False,https://www.filmtools.com/sandisk-extreme-portable-ssd-v2-black.html
Apricorn 16GB Aegis Secure Key 3NX Encrypted USB 3.1 Gen 1 Flash Drive (),Apricorn,Uncategorized,Needs Review,unknown,rugged_portable,16 GB,16,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,77,72,,,,True,IP67,,256-bit AES,,,,99.0,0.6,True,https://www.filmtools.com/apricorn-aegis-secure-key-3nx-encrypted-usb-3-1-gen-1-flash-drive-16gb.html
"Oyen Digital 1050MB Helix Dura USB-C (USB 3.2 Gen2) NVMe Portable SSD, Up to /s 4TB",Oyen Digital,Drives,Solid-State Drives (SSD),ssd,portable,1 GB,1,Thunderbolt 4; Thunderbolt 3; Thunderbolt 2; USB 3.2 Gen 2; USB 3.2 Gen 1; USB 3.1; USB 3.0; PCIe/NVMe,USB-C; USB-A,965,945,,,,False,,,,,4,Edit Fast; Offload & Ingest,819.0,0.88,False,https://www.filmtools.com/oyen-digital-4tb-helix-dura-usb-c-3-1-gen-2-portable-nvme-ssd.html
SanDisk Professional G-DRIVE PROJECT Thunderbolt 3 External Hard Drive,SanDisk Professional,Drives,Hard Disk Drives (HDD),hdd,,6 TB,6000,Thunderbolt 3,,260,260,7200,,,False,,,,,5,,644.99,0.65,False,https://www.filmtools.com/sandisk-professional-g-drive-project-thunderbolt-3-external-hard-drive.html
Oyen Digital 16TB MiniPro RAID V4 2-Bay USB-C 3.2 Gen 2 Portable SSD & RAID Array (2 x 8TB),Oyen Digital,Multi-Bay & RAID,2-Bay,ssd,portable,8 TB,8000,USB 3.0; SATA,USB-C; USB-A,,,,2,0,False,,,,,,Backup & Redundancy; Offload & Ingest,1699.0,0.88,False,https://www.filmtools.com/oyen-digital-mini-pro-raid-v4-16tb-2-bay-usb-c-3-2-gen-2-portable-ssd-raid-array-2-x-8tb-3.html
OWC Express 1M2 80G USB Bus-Powered Portable NVMe,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,,,Thunderbolt 5; Thunderbolt 4; Thunderbolt 3; USB4; PCIe/NVMe,USB-C,5046,5000,,1,,True,,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,169.99,0.66,False,https://www.filmtools.com/owc-express-1m2-80g-usb-bus-powered-portable-nvme.html
"Glyph SecureDrive+ Encrypted Drive with Keypad (SSD, ) (1TB, 2TB, 4TB, 8TB)",Glyph,Drives,Bare / Internal Drives,ssd,bare_internal,1 TB,1000,Thunderbolt 3; USB 3.2 Gen 1,USB-C; USB-A,360,,,,,False,,,,,,Edit Fast,279.99,0.84,False,https://www.filmtools.com/glyph-securedrive-encrypted-drive-with-keypad-ssd-1tb-2tb-4tb-8tb.html
LaCie Rugged SSD Pro Thunderbolt 3 External Drive,LaCie,Drives,Solid-State Drives (SSD),ssd,rugged_portable,2 TB,2000,Thunderbolt 3; USB 3.0; PCIe/NVMe,USB-C,2800,,,,,True,IP67,,,,,Edit Fast; Offload & Ingest; On-Set Capture,249.99,0.75,False,https://www.filmtools.com/lacie-rugged-pro-ssd-thunderbolt-3-external-drive.html
SanDisk Professional 5TB G-DRIVE ArmorATD USB-C 3.2 Gen 1 External Hard Drive,Sandisk,Drives,Hard Disk Drives (HDD),hdd,rugged_portable,5 TB,5000,Thunderbolt 3; USB 3.2 Gen 1; USB 3.0,USB-C; USB-A,130,,,,,True,IP54,,,True,3,On-Set Capture,354.99,0.84,False,https://www.filmtools.com/sandisk-professional-5tb-g-drive-armoratd-usb-c-3-2-gen-1-external-hard-drive.html
Apricorn 2TB Aegis Fortress FIPS 140-2 Level 2 Secure USB 3.0 Portable Drive,Apricorn,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,2 TB,2000,USB 3.2 Gen 1; USB 3.1; USB 3.0,USB-A,,,,,,True,IP66,,,,,,769.0,0.83,False,https://www.filmtools.com/apricorn-2tb-aegis-fortress-fips-140-2-level-2-secure-usb-3-0-portable-drive.html
OWC 4TB Envoy Pro FX External SSD,OWC,Drives,Solid-State Drives (SSD),ssd,rugged_portable,4 TB,4000,Thunderbolt 3; SATA; PCIe/NVMe,USB-C; USB-A,2800,,,,,True,IP67,,,True,3,Edit Fast; Offload & Ingest; On-Set Capture,1099.99,0.84,False,https://www.filmtools.com/owc-4tb-envoy-pro-fx-external-ssd.html
AJA 1TB SSD storage module with USB 3.0 connection,AJA,Drives,Solid-State Drives (SSD),ssd,desktop,1 TB,1000,USB 3.0; SATA,,,,,,,False,,,,,1,,1334.0,0.85,False,https://www.filmtools.com/aja-1tb-ssd-storage-module-with-usb-3-0-connection.html
"OWC 4TB Mercury Elite Pro Dual mini Portable, USB C",OWC,Cables & Connectivity,Thunderbolt / USB Cables,cable,accessory,4 TB,4000,Thunderbolt 2; USB 3.2 Gen 2x2; SATA,USB-C; USB-A,474,,,2,0; 1,True,,,,True,3,Backup & Redundancy; Edit Fast,264.99,0.83,False,https://www.filmtools.com/owc-4tb-mercury-elite-pro-dual-mini-portable-usb-c.html
LaCie 1TB Rugged SSD Pro Thunderbolt 3 External Drive,LaCie,Drives,Solid-State Drives (SSD),ssd,rugged_portable,1 TB,1000,Thunderbolt 3; PCIe/NVMe,USB-C,2800,,,,,True,IP67,,,,,Edit Fast; Offload & Ingest; On-Set Capture,249.99,0.83,False,https://www.filmtools.com/lacie-1tb-rugged-pro-ssd-thunderbolt-3-external-drive-sthz1000800.html
SanDisk 500GB Extreme Portable SSD V2 (Black),Sandisk,Drives,Solid-State Drives (SSD),ssd,rugged_portable,500 GB,500,USB 3.2 Gen 2,USB-C; USB-A,1000,,,,,True,IP55,,256-bit AES,True,5,Offload & Ingest; On-Set Capture,397.68,0.88,False,https://www.filmtools.com/sandisk-500gb-extreme-portable-ssd-v2.html
SanDisk 4TB Extreme PRO Portable SSD V2,SanDisk,Drives,Solid-State Drives (SSD),ssd,rugged_portable,4 TB,4000,USB 3.2 Gen 2x2,USB-C,2000,,,,,True,IP55,,256-bit AES,True,,Edit Fast; Offload & Ingest; On-Set Capture,679.99,0.88,False,https://www.filmtools.com/sandisk-4tb-extreme-pro-portable-ssd-v2.html
Oyen Digital 10TB Novus External USB-C Rugged Desktop Hard Drive,Oyen Digital,Drives,Hard Disk Drives (HDD),hdd,desktop,10 TB,10000,USB 3.2 Gen 2; USB 3.1,USB-C,,,,,,True,,,,,,Archive Forever; Backup & Redundancy,499.0,0.85,False,https://www.filmtools.com/oyen-digital-10tb-novus-rugged-desktop-hard-drive-usb-3-1-type-c.html
Oyen Digital 12TB Novus External USB-C Rugged Desktop Hard Drive,Oyen Digital,Drives,Hard Disk Drives (HDD),hdd,desktop,12 TB,12000,Thunderbolt 3; USB 3.2 Gen 2; USB 3.1; USB 3.0,USB-C,,,,,,True,,,,,,Archive Forever; Backup & Redundancy,599.0,0.85,False,https://www.filmtools.com/oyen-digital-12tb-novus-usb-3-1-gen-2-type-c-rugged-desktop-hard-drive.html
